dataset,m,n,normalize,datafit,penalty,lmbd,datafit_params,penalty_params
dexter,300,7751,true,Logistic,BigmL1L2norm,0.34362479936856954,{},"{'M': 2.8219645888817584, 'alpha': 0.03, 'beta': 0.3}"
dexter,300,7751,true,Squaredhinge,BigmL1L2norm,4.151753202099959,{},"{'M': 1.4109822944408792, 'alpha': 0.3, 'beta': 0.03}"
dexter,300,7751,true,Squaredhinge,BigmL2norm,0.6396638097343027,{},"{'M': 1.4109822944408792, 'beta': 3.0}"
dexter,300,7751,true,Logistic,BigmL2norm,0.3475543191659508,{},"{'M': 2.8219645888817584, 'beta': 0.3}"
dorothea,800,88119,true,Logistic,BigmL1L2norm,1.5024174296504162,{},"{'M': 0.7981452920212397, 'alpha': 0.8, 'beta': 0.08}"
dorothea,800,88119,true,Squaredhinge,BigmL1L2norm,6.588191587399787,{},"{'M': 0.7981452920212397, 'alpha': 0.8, 'beta': 0.8}"
dorothea,800,88119,true,Squaredhinge,BigmL2norm,6.817662423893168,{},"{'M': 0.7981452920212397, 'beta': 0.8}"
dorothea,800,88119,true,Logistic,BigmL2norm,1.5670523051207659,{},"{'M': 0.7981452920212397, 'beta': 0.8}"
gisette,6000,4955,true,Logistic,BigmL1L2norm,18.885741683133276,{},"{'M': 4912.651076567635, 'alpha': 0.6, 'beta': 0.6}"
gisette,6000,4955,true,Squaredhinge,BigmL1L2norm,98.4112438168512,{},"{'M': 491.2651076567635, 'alpha': 6.0, 'beta': 0.6}"
gisette,6000,4955,true,Logistic,BigmL2norm,20.114872094098644,{},"{'M': 491.2651076567635, 'beta': 0.6}"
gisette,6000,4955,true,Squaredhinge,BigmL2norm,192.93678428147376,{},"{'M': 491.2651076567635, 'beta': 0.6}"
kits,100,27648,true,Leastsquares,BigmL2norm,0.08047734686862017,{},"{'M': 0.5759839750528222, 'beta': 1.0}"
kits,100,27648,true,Leastsquares,BigmL1L2norm,0.04728410277698789,{},"{'M': 0.5759839750528222, 'alpha': 0.1, 'beta': 1.0}"
madelon,2000,660,true,Logistic,BigmL1L2norm,0.3255550588532803,{},"{'M': 6.85122771618553, 'alpha': 0.2, 'beta': 0.2}"
madelon,2000,660,true,Squaredhinge,BigmL2norm,1.213752660467905,{},"{'M': 13.70245543237106, 'beta': 2.0}"
madelon,2000,660,true,Logistic,BigmL2norm,0.7585954127924406,{},"{'M': 13.70245543237106, 'beta': 0.2}"
madelon,2000,660,true,Squaredhinge,BigmL1L2norm,1.1221472022797632,{},"{'M': 68.51227716185531, 'alpha': 0.2, 'beta': 2.0}"
drug,822,29519,true,Leastsquares,BigmL1L2norm,0.2106722787843218,{},"{'M': 9.06233865614505, 'alpha': 0.822, 'beta': 8.22}"
drug,822,29519,true,Leastsquares,BigmL2norm,0.00315234,{},"{'M': 4.531169328072525, 'beta': 8.22}"
